,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
101,20200601,9415492,95至尊花艺,12.4,0,0,1,1,1,111
102,20200601,9415494,九月花艺,7,1,69,1,1,2,112
103,20200601,9415495,芳雅花艺生活馆,0,0,0,1,1,1,111
104,20200601,9415496,花之舞庆典,13.7,0,0,2,1,1,211
105,20200601,9415610,小浣熊鲜花坊,14.2,0,0,2,1,1,211
106,20200601,9415611,圣格花艺,17.1,2,223,3,2,2,322
107,20200601,9415612,利群鲜花批发,14.3,0,0,2,1,1,211
108,20200601,9415613,金百合花店,14.1,0,0,2,1,1,211
109,20200601,9415614,真情鲜花,9.8,0,0,1,1,1,111
110,20200601,9415615,一花一木花艺生活馆,9.7,1,143,1,1,2,112
111,20200601,9415704,爱尚花艺,12.3,0,0,1,1,1,111
112,20200601,9415707,鑫福源鲜花,9.8,0,0,1,1,1,111
113,20200601,9415709,乐都鲜花,11.4,0,0,1,1,1,111
114,20200601,9415742,花语轩鲜花,14.4,0,0,2,1,1,211
115,20200601,9416497,柳柳花舍,11.4,0,0,1,1,1,111
116,20200601,9418080,唯一鲜花,8.8,0,0,1,1,1,111
117,20200601,9421954,江东花卉市场,14.1,1,69,2,1,2,212
118,20200601,9427935,花满庭花艺,0,0,0,1,1,1,111
