,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
500,9217391,67.0,0,13,5.0,5.0,5.0
501,9217392,66.0,0,4,0.0,0.0,0.0
502,9217393,58.0,0,5,0.0,0.0,0.0
503,9217394,64.0,0,1,0.0,0.0,0.0
504,9217395,69.0,0,6,0.0,0.0,0.0
505,9217427,78.0,0,8,0.0,0.0,0.0
506,9220398,60.0,0,9,0.0,0.0,0.0
507,9221114,83.0,2,27,4.8,4.8,4.8
508,9221143,52.0,0,9,0.0,0.0,0.0
509,9221144,62.0,0,4,0.0,0.0,0.0
510,9221145,60.0,0,9,0.0,0.0,0.0
511,9221147,58.0,0,5,0.0,0.0,0.0
512,9221356,74.0,0,20,0.0,0.0,0.0
513,9221395,69.0,0,13,3.5,4.0,4.0
514,9221396,59.0,0,6,0.0,0.0,0.0
515,9224328,68.0,0,4,0.0,0.0,0.0
516,9224608,73.0,0,15,4.3,4.5,4.5
517,9228345,71.0,0,3,0.0,0.0,0.0
518,9228346,73.0,0,8,4.8,5.0,5.0
519,9228402,44.0,0,1,0.0,0.0,0.0
520,9228404,55.0,0,1,0.0,0.0,0.0
521,9228406,75.0,0,15,5.0,5.0,5.0
522,9228671,53.0,0,0,0.0,0.0,0.0
523,9228737,67.0,0,1,0.0,0.0,0.0
524,9228743,47.0,0,3,0.0,0.0,0.0
525,9230084,57.0,0,23,0.0,0.0,0.0
526,9230086,66.0,0,3,0.0,0.0,0.0
527,9230140,72.0,0,6,0.0,0.0,0.0
