,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
616,1,贵阳	,2020-01-07 21:47:14	,17秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
623,1,贵阳	,2020-01-10 11:23:16	,87秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,145.0,0.5918367346938775
624,1,贵阳	,2020-01-10 18:28:13	,23秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,145.01,0.5918775510204082
631,1,贵阳	,2020-01-16 09:49:48	,14秒,否,折扣专区	,『目不转睛』9枝粉玫瑰花束送女友生日礼物鲜花店推荐送闺蜜,245.0,145.0,0.5918367346938775
632,1,贵阳	,2020-01-16 13:48:34	,27秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
637,1,贵阳	,2020-01-20 12:18:21	,300秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
669,1,南充	,2020-01-17 14:23:48	,169秒,否,折扣专区	,『暮翠朝红』19枝红玫瑰花礼盒鲜花搭配洋桔梗送女友生日鲜花店,298.0,142.0,0.47651006711409394
681,1,镇江	,2020-01-17 09:29:17	,110秒,否,折扣专区	,『爱就一个字』19枝红玫瑰花束 送亲人送闺蜜送情人推荐鲜花店,298.0,130.0,0.436241610738255
709,1,重庆	,2020-01-03 21:29:34	,169秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
712,1,重庆	,2020-01-17 11:17:32	,173秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,135.0,0.45302013422818793
727,1,宁波	,2020-01-04 19:54:22	,221秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
746,1,宁波	,2020-01-14 18:58:38	,33秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,135.0,0.45302013422818793
754,1,宁波	,2020-01-16 17:58:20	,0秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,135.0,0.45302013422818793
760,1,宁波	,2020-01-21 17:13:36	,208秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,126.66,0.5169795918367347
782,1,马鞍山	,2020-01-05 15:10:57	,1秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
789,1,马鞍山	,2020-01-09 09:52:49	,0秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,142.0,0.47651006711409394
803,1,马鞍山	,2020-01-13 23:52:02	,0秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,142.0,0.47651006711409394
830,1,马鞍山	,2020-02-01 09:06:45	,2秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,138.0,0.563265306122449
835,1,廊坊	,2020-01-01 12:27:48	,25秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
838,1,廊坊	,2020-01-04 23:30:28	,0秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
